Sbj,Emo,Fctype,Grp,Emo2,Trial,Side,fixDur,fixNum,TotlDur,TotlNum,weight,fixDurPor,Famil
108,HAPPY,Own,UK,FEAR,1,L,3.299,4,4.232,7,0.8464,0.779536862003781,novel
108,HAPPY,Own,UK,HAPPY,1,R,0.933,3,4.232,7,0.8464,0.220463137996219,famil
108,HAPPY,Own,UK,FEAR,2,R,2.066,2,2.699,4,0.5398,0.765468692108188,novel
108,HAPPY,Own,UK,HAPPY,2,L,0,0,2.699,4,0.5398,0,famil
109,HAPPY,Own,UK,FEAR,1,L,2.682,6,3.066,9,0.6132,0.874755381604697,novel
109,HAPPY,Own,UK,HAPPY,1,R,0.267,2,3.066,9,0.6132,0.0870841487279844,famil
109,HAPPY,Own,UK,FEAR,2,R,3.681,10,4.33,12,0.866,0.850115473441108,novel
109,HAPPY,Own,UK,HAPPY,2,L,0.516,1,4.33,12,0.866,0.119168591224018,famil
110,HAPPY,Own,UK,FEAR,1,R,2.882,6,3.898,8,0.7796,0.739353514622883,novel
110,HAPPY,Own,UK,HAPPY,1,L,0.733,1,3.898,8,0.7796,0.188045151359672,famil
110,HAPPY,Own,UK,FEAR,2,L,2.831,4,4.813,7,0.9626,0.5881986287139,novel
110,HAPPY,Own,UK,HAPPY,2,R,1.982,3,4.813,7,0.9626,0.4118013712861,famil
111,HAPPY,Own,UK,FEAR,1,R,2.615,5,5,12,1,0.523,novel
111,HAPPY,Own,UK,HAPPY,1,L,2.385,7,5,12,1,0.477,famil
111,HAPPY,Own,UK,FEAR,2,L,3.081,5,4.879,7,0.9758,0.631481861037098,novel
111,HAPPY,Own,UK,HAPPY,2,R,1.798,2,4.879,7,0.9758,0.368518138962902,famil
112,HAPPY,Own,UK,FEAR,1,L,2.764,6,5,10,1,0.5528,novel
112,HAPPY,Own,UK,HAPPY,1,R,2.236,4,5,10,1,0.4472,famil
112,HAPPY,Own,UK,FEAR,2,R,2.049,6,4.649,12,0.9298,0.440739944073994,novel
112,HAPPY,Own,UK,HAPPY,2,L,2.6,6,4.649,12,0.9298,0.559260055926006,famil
113,HAPPY,Own,UK,FEAR,1,R,3.114,5,5,11,1,0.6228,novel
113,HAPPY,Own,UK,HAPPY,1,L,1.636,5,5,11,1,0.3272,famil
113,HAPPY,Own,UK,FEAR,2,L,1.933,8,5,16,1,0.3866,novel
113,HAPPY,Own,UK,HAPPY,2,R,2.501,6,5,16,1,0.5002,famil
114,HAPPY,Own,UK,FEAR,1,R,1.216,3,2.199,5,0.4398,0.552978626648477,novel
114,HAPPY,Own,UK,HAPPY,1,L,0.483,1,2.199,5,0.4398,0.219645293315143,famil
114,HAPPY,Own,UK,FEAR,2,L,1.416,2,2.548,5,0.5096,0.555729984301413,novel
114,HAPPY,Own,UK,HAPPY,2,R,1.132,3,2.548,5,0.5096,0.444270015698587,famil
115,HAPPY,Own,UK,FEAR,1,L,2.965,5,4.713,9,0.9426,0.629110969658392,novel
115,HAPPY,Own,UK,HAPPY,1,R,1.132,2,4.713,9,0.9426,0.240186717589646,famil
115,HAPPY,Own,UK,FEAR,2,R,2.165,7,4.048,11,0.8096,0.534832015810277,novel
115,HAPPY,Own,UK,HAPPY,2,L,0.583,1,4.048,11,0.8096,0.144021739130435,famil
116,FEAR,Other,JAPAN,FEAR,1,L,1.815,4,3.797,8,0.7594,0.478008954437714,famil
116,FEAR,Other,JAPAN,HAPPY,1,R,1.982,4,3.797,8,0.7594,0.521991045562286,novel
116,FEAR,Other,JAPAN,FEAR,2,R,3.447,7,4.663,10,0.9326,0.739223675745228,famil
116,FEAR,Other,JAPAN,HAPPY,2,L,1.216,3,4.663,10,0.9326,0.260776324254772,novel
117,FEAR,Other,JAPAN,FEAR,1,L,2.415,4,5,6,1,0.483,famil
117,FEAR,Other,JAPAN,HAPPY,1,R,2.585,2,5,6,1,0.517,novel
117,FEAR,Other,JAPAN,FEAR,2,R,2.199,1,5,6,1,0.4398,famil
117,FEAR,Other,JAPAN,HAPPY,2,L,2.551,4,5,6,1,0.5102,novel
118,FEAR,Other,JAPAN,FEAR,1,L,1.916,4,4.764,10,0.9528,0.402183039462636,famil
118,FEAR,Other,JAPAN,HAPPY,1,R,2.848,6,4.764,10,0.9528,0.597816960537364,novel
118,FEAR,Other,JAPAN,FEAR,2,R,1.233,3,3.964,13,0.7928,0.311049445005045,famil
118,FEAR,Other,JAPAN,HAPPY,2,L,2.065,7,3.964,13,0.7928,0.520938446014127,novel
119,FEAR,Other,JAPAN,FEAR,1,L,1.966,4,3.748,9,0.7496,0.524546424759872,famil
119,FEAR,Other,JAPAN,HAPPY,1,R,1.782,5,3.748,9,0.7496,0.475453575240128,novel
119,FEAR,Other,JAPAN,FEAR,2,R,1.049,3,2.581,10,0.5162,0.406431615652848,famil
119,FEAR,Other,JAPAN,HAPPY,2,L,1.316,5,2.581,10,0.5162,0.509879891514917,novel
120,FEAR,Other,JAPAN,FEAR,1,R,2.968,4,5,7,1,0.5936,famil
120,FEAR,Other,JAPAN,HAPPY,1,L,2.032,3,5,7,1,0.4064,novel
120,FEAR,Other,JAPAN,FEAR,2,L,3.065,3,4.681,5,0.9362,0.65477462080752,famil
120,FEAR,Other,JAPAN,HAPPY,2,R,1.616,2,4.681,5,0.9362,0.34522537919248,novel
121,FEAR,Other,JAPAN,FEAR,1,L,2.881,6,4.214,9,0.8428,0.683673469387755,famil
121,FEAR,Other,JAPAN,HAPPY,1,R,1.333,3,4.214,9,0.8428,0.316326530612245,novel
121,FEAR,Other,JAPAN,FEAR,2,R,2.083,5,4.815,11,0.963,0.432606438213915,famil
121,FEAR,Other,JAPAN,HAPPY,2,L,2.099,4,4.815,11,0.963,0.435929387331257,novel
122,FEAR,Other,JAPAN,FEAR,1,L,3.298,4,4.863,7,0.9726,0.678182192062513,famil
122,FEAR,Other,JAPAN,HAPPY,1,R,1.465,2,4.863,7,0.9726,0.301254369730619,novel
122,FEAR,Other,JAPAN,FEAR,2,R,2.416,5,4.265,8,0.853,0.566471277842907,famil
122,FEAR,Other,JAPAN,HAPPY,2,L,1.849,3,4.265,8,0.853,0.433528722157093,novel
123,FEAR,Other,JAPAN,FEAR,1,R,1.082,4,4.146,10,0.8292,0.260974433188616,famil
123,FEAR,Other,JAPAN,HAPPY,1,L,3.064,6,4.146,10,0.8292,0.739025566811385,novel
123,FEAR,Other,JAPAN,FEAR,2,L,1.083,3,2.93,9,0.586,0.36962457337884,famil
123,FEAR,Other,JAPAN,HAPPY,2,R,1.597,5,2.93,9,0.586,0.545051194539249,novel
124,FEAR,Other,JAPAN,FEAR,1,R,1.182,3,2.581,6,0.5162,0.457962030220845,famil
124,FEAR,Other,JAPAN,HAPPY,1,L,1.399,3,2.581,6,0.5162,0.542037969779155,novel
124,FEAR,Other,JAPAN,FEAR,2,L,1.082,3,2.43,6,0.486,0.445267489711934,famil
124,FEAR,Other,JAPAN,HAPPY,2,R,1.348,3,2.43,6,0.486,0.554732510288066,novel
125,FEAR,Other,JAPAN,FEAR,1,R,2.481,4,4.047,11,0.8094,0.613046701260193,famil
125,FEAR,Other,JAPAN,HAPPY,1,L,1.566,7,4.047,11,0.8094,0.386953298739807,novel
125,FEAR,Other,JAPAN,FEAR,2,L,1.415,4,4.062,9,0.8124,0.348350566223535,famil
125,FEAR,Other,JAPAN,HAPPY,2,R,2.564,4,4.062,9,0.8124,0.63121614967996,novel
126,FEAR,Other,JAPAN,FEAR,1,R,1.847,5,4.61,12,0.922,0.400650759219089,famil
126,FEAR,Other,JAPAN,HAPPY,1,L,2.763,7,4.61,12,0.922,0.599349240780911,novel
126,FEAR,Other,JAPAN,FEAR,2,L,1.315,2,3.346,6,0.6692,0.393006575014943,famil
126,FEAR,Other,JAPAN,HAPPY,2,R,1.731,3,3.346,6,0.6692,0.517334130304842,novel
127,FEAR,Other,JAPAN,FEAR,1,L,2.332,5,4.098,8,0.8196,0.569058077110786,famil
127,FEAR,Other,JAPAN,HAPPY,1,R,1.766,3,4.098,8,0.8196,0.430941922889214,novel
127,FEAR,Other,JAPAN,FEAR,2,R,0.965,3,3.48,7,0.696,0.277298850574713,famil
127,FEAR,Other,JAPAN,HAPPY,2,L,2.515,4,3.48,7,0.696,0.722701149425287,novel
128,FEAR,Other,JAPAN,FEAR,1,L,1.849,5,5,11,1,0.3698,famil
128,FEAR,Other,JAPAN,HAPPY,1,R,3.151,6,5,11,1,0.6302,novel
128,FEAR,Other,JAPAN,FEAR,2,R,2.965,6,3.831,9,0.7662,0.773949360480292,famil
128,FEAR,Other,JAPAN,HAPPY,2,L,0.516,1,3.831,9,0.7662,0.13469068128426,novel
129,FEAR,Other,JAPAN,FEAR,1,L,2.982,6,4.931,10,0.9862,0.604745487730683,famil
129,FEAR,Other,JAPAN,HAPPY,1,R,1.949,4,4.931,10,0.9862,0.395254512269317,novel
129,FEAR,Other,JAPAN,FEAR,2,R,2.698,2,4.313,7,0.8626,0.625550660792952,famil
129,FEAR,Other,JAPAN,HAPPY,2,L,1.382,4,4.313,7,0.8626,0.320426617203803,novel
130,FEAR,Other,JAPAN,FEAR,1,L,2.648,6,3.564,8,0.7128,0.742985409652076,famil
130,FEAR,Other,JAPAN,HAPPY,1,R,0.916,2,3.564,8,0.7128,0.257014590347924,novel
130,FEAR,Other,JAPAN,FEAR,2,R,1.866,7,2.349,11,0.4698,0.794380587484036,famil
130,FEAR,Other,JAPAN,HAPPY,2,L,0.366,3,2.349,11,0.4698,0.15581098339719,novel
131,FEAR,Other,JAPAN,FEAR,1,L,3.401,6,5,10,1,0.6802,famil
131,FEAR,Other,JAPAN,HAPPY,1,R,1.599,4,5,10,1,0.3198,novel
131,FEAR,Other,JAPAN,FEAR,2,R,1.316,4,2.864,10,0.5728,0.459497206703911,famil
131,FEAR,Other,JAPAN,HAPPY,2,L,1.448,5,2.864,10,0.5728,0.505586592178771,novel
132,FEAR,Other,JAPAN,FEAR,1,L,1.349,2,4.614,7,0.9228,0.292371044646727,famil
132,FEAR,Other,JAPAN,HAPPY,1,R,2.665,4,4.614,7,0.9228,0.577589943649762,novel
132,FEAR,Other,JAPAN,FEAR,2,R,2.131,7,3.346,11,0.6692,0.636879856545128,famil
132,FEAR,Other,JAPAN,HAPPY,2,L,0.949,3,3.346,11,0.6692,0.283622235505081,novel
133,FEAR,Other,JAPAN,FEAR,1,R,2.586,3,5,8,1,0.5172,famil
133,FEAR,Other,JAPAN,HAPPY,1,L,2.098,4,5,8,1,0.4196,novel
133,FEAR,Other,JAPAN,FEAR,2,L,1.232,2,3.896,10,0.7792,0.316221765913758,famil
133,FEAR,Other,JAPAN,HAPPY,2,R,2.215,6,3.896,10,0.7792,0.568531827515401,novel
134,FEAR,Other,JAPAN,FEAR,1,L,1.699,6,4.664,11,0.9328,0.364279588336192,famil
134,FEAR,Other,JAPAN,HAPPY,1,R,2.965,5,4.664,11,0.9328,0.635720411663808,novel
